Total Votes,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%,
"991,292","775,699",78.25%,"203,817",20.56%,"11,776",1.19%,
,,,,,,,
Ward 1,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
19,1363,1130,82.91%,210,15.41%,23,1.69%
20,910,838,92.09%,64,7.03%,8,0.88%
21,1012,891,88.04%,113,11.17%,8,0.79%
22,766,690,90.08%,71,9.27%,5,0.65%
23,509,453,89.00%,46,9.04%,10,1.96%
24,238,218,91.60%,16,6.72%,4,1.68%
25,1284,1038,80.84%,226,17.60%,20,1.56%
26,593,526,88.70%,61,10.29%,6,1.01%
27,1135,920,81.06%,204,17.97%,11,0.97%
Total,"22,082","19,412",87.91%,"2,428",11.00%,242,1.10%
,,,,,,,
Ward 4,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1234,1154,93.52%,75,6.08%,5,0.41%
2,498,458,91.97%,35,7.03%,5,1.00%
3,774,738,95.35%,31,4.01%,5,0.65%
4,955,898,94.03%,53,5.55%,4,0.42%
5,441,402,91.16%,33,7.48%,6,1.36%
6,664,615,92.62%,44,6.63%,5,0.75%
7,487,453,93.02%,30,6.16%,4,0.82%
8,569,545,95.78%,24,4.22%,0,0.00%
9,816,733,89.83%,66,8.09%,17,2.08%
10,671,626,93.29%,36,5.37%,9,1.34%
11,892,827,92.71%,55,6.17%,10,1.12%
12,571,520,91.07%,45,7.88%,6,1.05%
13,623,573,91.97%,42,6.74%,8,1.28%
14,580,539,92.93%,39,6.72%,2,0.34%
15,525,472,89.90%,49,9.33%,4,0.76%
16,768,694,90.36%,67,8.72%,7,0.91%
17,1114,1015,91.11%,87,7.81%,12,1.08%
